"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore"
1456,17038,"FA18UCpost","flanker",8.17125,5,3.17125
1457,17037,"FA18UCpost","flanker",8.13559,5,3.13559
1458,17036,"FA18UCpost","flanker",8.22341,5,3.22341
1459,17035,"FA18UCpost","flanker",8.01045,5,3.01045
1460,17034,"FA18UCpost","flanker",6.83823,5,1.83823
1461,16960,"FA18UCpost","flanker",7.72617,5,2.84522
1462,16959,"FA18UCpost","flanker",3.80952,4,1.48186
1463,16957,"FA18UCpost","flanker",7.95016,5,2.95016
1464,16955,"FA18UCpost","flanker",7.59312,5,2.59312
1465,16954,"FA18UCpost","flanker",6.71813,5,1.71813
1466,16953,"FA18UCpost","flanker",7.90877,5,3.02782
1467,16951,"FA18UCpost","flanker",7.44887,5,2.68696
1468,16950,"FA18UCpost","flanker",8.08255,5,3.08255
1469,16948,"FA18UCpost","flanker",6.58058,5,1.58058
1470,16947,"FA18UCpost","flanker",8.29955,5,3.65669
1471,16946,"FA18UCpost","flanker",7.16438,5,2.28342
1472,16944,"FA18UCpost","flanker",7.04109,5,2.27919
1473,17033,"FA18UCpost","flanker",8.06139,5,3.41853
1474,17032,"FA18UCpost","flanker",7.5785,5,2.69755
1475,17031,"FA18UCpost","flanker",8.16349,5,3.28254
1476,17029,"FA18UCpost","flanker",8.26262,5,3.26262
1477,17028,"FA18UCpost","flanker",7.90955,5,2.90955
1478,17027,"FA18UCpost","flanker",7.38137,5,2.38137
1479,17026,"FA18UCpost","flanker",8.1902,5,3.1902
1480,17025,"FA18UCpost","flanker",8.00125,5,3.23935
1481,17024,"FA18UCpost","flanker",7.74865,5,2.74865
1482,17023,"FA18UCpost","flanker",5,5,0
1483,17022,"FA18UCpost","flanker",8.12386,5,3.12386
1484,17021,"FA18UCpost","flanker",7.74865,5,2.74865
1485,17020,"FA18UCpost","flanker",6.83158,5,1.83158
1486,17019,"FA18UCpost","flanker",5,5,0
1487,17018,"FA18UCpost","flanker",5,5,0
1488,17018,"FA18UCpost","flanker",6.77584,5,1.89489
1489,17017,"FA18UCpost","flanker",7.88826,5,3.00731
1490,17016,"FA18UCpost","flanker",7.32523,5,2.32523
1491,17015,"FA18UCpost","flanker",7.56451,5,2.56451
1492,17014,"FA18UCpost","flanker",8.00261,5,3.00261
1493,17013,"FA18UCpost","flanker",7.88443,5,2.88443
1494,17012,"FA18UCpost","flanker",7.53935,4,3.25363
1495,17011,"FA18UCpost","flanker",7.90762,5,3.14571
1496,17010,"FA18UCpost","flanker",8.47021,5,3.47021
1497,17009,"FA18UCpost","flanker",6.22199,5,1.57913
1498,17008,"FA18UCpost","flanker",8.10888,5,3.10888
1499,17007,"FA18UCpost","flanker",6.71221,5,2.1884
1500,17006,"FA18UCpost","flanker",7.77474,5,2.77474
1501,16941,"FA18UCpost","flanker",3.69048,4,2.8669
1502,16940,"FA18UCpost","flanker",7.48244,5,2.48244
1503,16938,"FA18UCpost","flanker",8.05498,5,3.05498
1504,16937,"FA18UCpost","flanker",7.25816,5,2.25816
1505,16936,"FA18UCpost","flanker",8.06791,5,3.06791
1506,16935,"FA18UCpost","flanker",5,5,0
1507,16934,"FA18UCpost","flanker",7.87565,5,2.87564
1508,16933,"FA18UCpost","flanker",8.12219,5,3.12219
1509,16932,"FA18UCpost","flanker",8.23591,5,3.35495
1510,16931,"FA18UCpost","flanker",7.79796,5,2.917
1511,16930,"FA18UCpost","flanker",7.78445,5,2.78445
1512,16929,"FA18UCpost","flanker",7.99949,5,2.99949
1513,16928,"FA18UCpost","flanker",7.78605,5,2.90509
1514,16927,"FA18UCpost","flanker",7.9383,5,3.1764
1515,16926,"FA18UCpost","flanker",6.16299,4,2.11537
1516,16925,"FA18UCpost","flanker",7.44097,5,2.67907
1517,16924,"FA18UCpost","flanker",8.37017,5,3.37017
1518,16923,"FA18UCpost","flanker",7.70286,5,2.70286
1519,16922,"FA18UCpost","flanker",7.84092,5,2.84092
1520,16921,"FA18UCpost","flanker",7.86087,5,3.09897
1521,16920,"FA18UCpost","flanker",8.08582,5,3.08582
1522,16998,"FA18UCpost","flanker",6.35557,5,1.59367
1523,16996,"FA18UCpost","flanker",7.11419,5,2.23324
1524,16995,"FA18UCpost","flanker",6.52235,5,1.8795
1525,16994,"FA18UCpost","flanker",8.22871,5,3.22871
1526,16993,"FA18UCpost","flanker",7.57814,5,2.57814
1527,16992,"FA18UCpost","flanker",7.94561,5,2.94561
1528,16991,"FA18UCpost","flanker",7.90368,5,3.26082
1529,16990,"FA18UCpost","flanker",8.22517,5,3.22517
1530,16988,"FA18UCpost","flanker",7.6378,5,2.75685
1531,16987,"FA18UCpost","flanker",7.63233,5,2.75138
1532,16986,"FA18UCpost","flanker",6.89673,5,2.13482
1533,16985,"FA18UCpost","flanker",8.33424,5,3.33424
1534,16984,"FA18UCpost","flanker",8.04215,5,3.04215
1535,16983,"FA18UCpost","flanker",8.13728,5,3.13728
1536,16982,"FA18UCpost","flanker",6.69518,5,2.17137
1537,18652,"FA18UCpost","flanker",8.16275,5,3.63894
1538,17246,"FA18UCpost","flanker",7.65303,4,3.24826
1539,18650,"FA18UCpost","flanker",5,5,0
1540,17248,"FA18UCpost","flanker",7.45285,4,3.28619
1541,16908,"FA18UCpost","flanker",8.20062,5,3.20062
1542,16907,"FA18UCpost","flanker",8.17038,5,3.52753
1543,16906,"FA18UCpost","flanker",8.06804,5,3.54423
1544,16904,"FA18UCpost","flanker",3.80952,4,3.17125
1545,16903,"FA18UCpost","flanker",7.8867,5,3.00574
1546,16901,"FA18UCpost","flanker",8.17847,5,3.41657
1547,16899,"FA18UCpost","flanker",7.80542,5,2.80542
1548,16897,"FA18UCpost","flanker",7.84946,5,2.96851
1549,16896,"FA18UCpost","flanker",7.99061,5,3.22871
1550,16889,"FA18UCpost","flanker",7.9977,5,3.23579
1551,16888,"FA18UCpost","flanker",8.24921,5,3.36826
1552,16887,"FA18UCpost","flanker",7.42789,5,2.66598
1553,16886,"FA18UCpost","flanker",7.9639,5,2.9639
1554,16885,"FA18UCpost","flanker",7.98703,5,2.98703
1555,16884,"FA18UCpost","flanker",7.91701,5,2.917
1556,16882,"FA18UCpost","flanker",7.95373,5,3.07278
1557,16881,"FA18UCpost","flanker",8.30636,5,3.30636
1558,16881,"FA18UCpost","flanker",8.02307,5,3.02307
1559,16880,"FA18UCpost","flanker",8.60394,5,3.60394
1560,16879,"FA18UCpost","flanker",6.51369,5,1.63274
1561,16878,"FA18UCpost","flanker",7.61455,5,2.61455
1562,16877,"FA18UCpost","flanker",8.28254,5,3.28254
1563,16876,"FA18UCpost","flanker",7.63752,5,2.63752
1564,16875,"FA18UCpost","flanker",8.30636,5,3.30636
1565,16874,"FA18UCpost","flanker",8.02836,5,3.38551
1566,16873,"FA18UCpost","flanker",8.50685,5,3.50685
1567,16872,"FA18UCpost","flanker",6.14512,5,1.14512
1568,16868,"FA18UCpost","flanker",7.36339,5,2.48244
1569,16867,"FA18UCpost","flanker",8.20772,5,3.32677
1570,16866,"FA18UCpost","flanker",7.97004,5,2.97004
1571,16867,"FA18UCpost","flanker",8.20772,5,3.32677
1572,16865,"FA18UCpost","flanker",7.64704,5,3.00418
1573,16864,"FA18UCpost","flanker",8.25902,5,3.25902
1574,16863,"FA18UCpost","flanker",8.37208,5,3.37208
1575,16862,"FA18UCpost","flanker",8.12888,5,3.12888
1576,16861,"FA18UCpost","flanker",7.36579,5,2.36579
1577,16860,"FA18UCpost","flanker",8.30821,5,3.30821
1578,16859,"FA18UCpost","flanker",5.17307,5,0.292119
1579,16858,"FA18UCpost","flanker",7.69692,5,2.93502
1580,16857,"FA18UCpost","flanker",8.34713,5,3.46618
1581,16856,"FA18UCpost","flanker",3.57143,4,2.41976
1582,16855,"FA18UCpost","flanker",6.66098,5,1.78003
1583,16854,"FA18UCpost","flanker",8.10966,5,3.22871
1584,16854,"FA18UCpost","flanker",8.10966,5,3.22871
1585,16853,"FA18UCpost","flanker",8.57384,5,3.57384
1586,16852,"FA18UCpost","flanker",3.45238,3,1.69333
1587,16851,"FA18UCpost","flanker",3.09524,3,2.58561
1588,16850,"FA18UCpost","flanker",7.76784,5,2.76784
1589,16848,"FA18UCpost","flanker",8.40097,5,3.40097
1590,16847,"FA18UCpost","flanker",5.72437,4,1.31961
1591,16846,"FA18UCpost","flanker",7.78862,5,2.78862
1592,16845,"FA18UCpost","flanker",7.225,5,2.225
1593,16844,"FA18UCpost","flanker",3.33333,3,2.67382
1594,16843,"FA18UCpost","flanker",8.38551,5,3.38551
1595,16842,"FA18UCpost","flanker",7.99325,5,2.99325
1596,16841,"FA18UCpost","flanker",6.5101,4,2.46248
1597,16840,"FA18UCpost","flanker",8.67653,5,3.79558
1598,16839,"FA18UCpost","flanker",6.75279,5,1.75279
1599,16838,"FA18UCpost","flanker",5.50139,4,1.21568
1600,16836,"FA18UCpost","flanker",5,5,0
1601,16835,"FA18UCpost","flanker",7.08147,5,2.20052
1602,16834,"FA18UCpost","flanker",7.58063,5,2.58063
1603,16833,"FA18UCpost","flanker",6.82082,5,1.82082
1604,16832,"FA18UCpost","flanker",8.50685,5,3.50685
1605,16831,"FA18UCpost","flanker",8.44617,5,3.44618
1606,16830,"FA18UCpost","flanker",8.41657,5,3.41657
1607,16827,"FA18UCpost","flanker",7.47302,5,2.47302
1608,16826,"FA18UCpost","flanker",7.90361,5,2.90361
1609,16825,"FA18UCpost","flanker",5.90131,5,1.1394
1610,16824,"FA18UCpost","flanker",8.07278,5,3.07278
1611,16823,"FA18UCpost","flanker",2.61905,3,0
1612,16823,"FA18UCpost","flanker",2.61905,3,0
1613,16821,"FA18UCpost","flanker",7.78181,5,3.0199
1614,16820,"FA18UCpost","flanker",8.22165,5,3.22165
1615,16818,"FA18UCpost","flanker",8.21988,5,3.21989
1616,16817,"FA18UCpost","flanker",7.99648,5,3.11552
1617,16816,"FA18UCpost","flanker",3.29268,3,2.40839
1618,16815,"FA18UCpost","flanker",5.93465,5,1.28349
1619,16815,"FA18UCpost","flanker",5.93465,5,1.28349
1620,16813,"FA18UCpost","flanker",7.88737,5,2.88737
1621,16812,"FA18UCpost","flanker",7.96697,5,2.96697
1622,16812,"FA18UCpost","flanker",7.96697,5,2.96697
1623,16810,"FA18UCpost","flanker",8.29716,5,3.29716
1624,16809,"FA18UCpost","flanker",7.51579,5,2.51579
1625,16806,"FA18UCpost","flanker",8.25902,5,3.25902
1626,16805,"FA18UCpost","flanker",8.32677,5,3.32677
1627,16805,"FA18UCpost","flanker",8.32677,5,3.32677
1628,16804,"FA18UCpost","flanker",6.3086,4,2.02289
1629,16803,"FA18UCpost","flanker",8.56746,5,3.56746
1630,16802,"FA18UCpost","flanker",8.34512,5,3.46417
1631,16800,"FA18UCpost","flanker",4.89768,5,0.191799
1632,16797,"FA18UCpost","flanker",8.04245,5,3.1644
1633,16797,"FA18UCpost","flanker",5,5,0
1634,16796,"FA18UCpost","flanker",6.29536,4,1.8906
1635,16793,"FA18UCpost","flanker",8.01675,5,3.01675
1636,16793,"FA18UCpost","flanker",8.01675,5,3.01675
1637,16792,"FA18UCpost","flanker",8.31746,5,3.31746
1638,16791,"FA18UCpost","flanker",7.27075,5,2.27075
1639,16790,"FA18UCpost","flanker",7.44042,5,2.44042
1640,16789,"FA18UCpost","flanker",3.33333,3,0.486971
1641,16787,"FA18UCpost","flanker",5,5,0
1642,16786,"FA18UCpost","flanker",7.92299,5,2.92299
1643,16786,"FA18UCpost","flanker",7.92299,5,2.92299
1644,16786,"FA18UCpost","flanker",7.92299,5,2.92299
1645,16785,"FA18UCpost","flanker",8.1272,5,3.12721
1646,16784,"FA18UCpost","flanker",7.34877,5,2.58686
1647,16783,"FA18UCpost","flanker",7.96697,5,2.96697
1648,16783,"FA18UCpost","flanker",7.96697,5,2.96697
1649,16782,"FA18UCpost","flanker",5.68213,5,1.15832
1650,16780,"FA18UCpost","flanker",8.22165,5,3.22165
1651,16779,"FA18UCpost","flanker",7.52664,5,2.52664
1652,16778,"FA18UCpost","flanker",8.10888,5,3.10888
1653,16777,"FA18UCpost","flanker",8.38936,5,3.38936
1654,16777,"FA18UCpost","flanker",8.38936,5,3.38936
1655,16776,"FA18UCpost","flanker",8.13997,5,3.25902
1656,16776,"FA18UCpost","flanker",8.31128,5,3.43033
1657,16775,"FA18UCpost","flanker",7.29553,5,2.41748
1658,16774,"FA18UCpost","flanker",7.95626,5,2.95626
1659,16773,"FA18UCpost","flanker",5,5,0
1660,16771,"FA18UCpost","flanker",7.70752,5,3.06467
1661,16771,"FA18UCpost","flanker",7.70752,5,3.06467
1662,16770,"FA18UCpost","flanker",5,5,0
1663,16770,"FA18UCpost","flanker",7.16148,4,3.11386
1664,17247,"FA18UCpost","flanker",7.76552,4,3.7179
1665,18630,"FA18UCpost","flanker",5,5,0
1666,18630,"FA18UCpost","flanker",5,5,0
1667,17252,"JRPOF18","flanker",3.80952,4,3.26442
1668,17253,"JRPOF18","flanker",7.71401,5,3.1902
1669,17255,"JRPOF18","flanker",7.18167,5,2.41976
1670,18129,"JRPOF18","flanker",3.09524,3,0
1671,18128,"JRPOF18","flanker",3.21429,3,0.588245
1672,17386,"JRPOF18","flanker",3.57143,4,2.64266
1673,17213,"JRPOF18","flanker",7.91253,5,2.91253
1674,17209,"JRPOF18","flanker",7.93351,5,2.93351
1675,17208,"JRPOF18","flanker",5.88319,4,1.47843
1676,17207,"JRPOF18","flanker",6.79865,5,2.03675
1677,17206,"JRPOF18","flanker",3.21429,3,4.55869
1678,17205,"JRPOF18","flanker",4.69046,4,0.52379
1679,17202,"JRPOF18","flanker",7.62727,5,2.62727
1680,17202,"JRPOF18","flanker",3.33333,3,1.27119
1681,17198,"JRPOF18","flanker",7.97662,5,3.09567
1682,17195,"JRPOF18","flanker",7.58936,5,2.58936
1683,17194,"JRPOF18","flanker",7.89917,5,2.89917
1684,17192,"JRPOF18","flanker",3.92857,4,1.16641
1685,17394,"JRPOF18","flanker",3.45238,3,1.69025
1686,17212,"JRPOF18","flanker",8.34002,5,3.57811
1687,17211,"JRPOF18","flanker",7.48091,5,2.83805
1688,17210,"JRPOF18","flanker",6.82122,5,2.17836
1689,17204,"JRPOF18","flanker",3.69048,4,2.84666
1690,17203,"JRPOF18","flanker",7.21885,5,2.21885
1691,17201,"JRPOF18","flanker",8.27224,5,3.39129
1692,17200,"JRPOF18","flanker",8.36635,5,3.36635
1693,17199,"JRPOF18","flanker",7.86798,5,2.98703
1694,17197,"JRPOF18","flanker",3.57143,4,2.09995
1695,17196,"JRPOF18","flanker",7.0275,5,2.0275
1696,17256,"JRPOF18","flanker",3.80952,4,2.65299
1697,17258,"JRPOF18","flanker",3.45238,3,3.96149
1698,17230,"JRPOF18","flanker",3.80952,4,3.19714
1699,17230,"JRPOF18","flanker",5,5,0
1700,18648,"JRPOF18","flanker",7.95048,5,3.06953
